uniqueid,thumbnail_count,visit_count,play_count,impression_count,event_count_cta_n_p_s_1,event_count_cta_n_p_s_2,event_count_cta_n_p_s_3,event_count_cta_n_p_s_4,event_count_cta_n_p_s_5,event_count_finished,first_thumbnail_at,last_thumbnail_at,first_visited_at,last_visited_at,first_played_at,last_played_at,first_impression_at,last_impression_at,first_received_at_cta_n_p_s_1,last_received_at_cta_n_p_s_1,first_received_at_cta_n_p_s_2,last_received_at_cta_n_p_s_2,first_received_at_cta_n_p_s_3,last_received_at_cta_n_p_s_3,first_received_at_cta_n_p_s_4,last_received_at_cta_n_p_s_4,first_received_at_cta_n_p_s_5,last_received_at_cta_n_p_s_5,first_received_at_finished,last_received_at_finished
"9548839","","1","1","1","","","","","","","","","2025-05-13 09:00:00","2025-05-13 09:00:00","2025-05-13 09:00:00","2025-05-13 09:00:00","2025-05-13 09:00:00","2025-05-13 09:00:00","","","","","","","","","","","",""
"9346200","","1","1","1","","","","","","","","","2025-05-13 13:00:00","2025-05-13 13:00:00","2025-05-13 13:00:00","2025-05-13 13:00:00","2025-05-13 13:00:00","2025-05-13 13:00:00","","","","","","","","","","","",""
"10888605","","1","1","1","","","","","1","1","","","2025-05-13 13:00:00","2025-05-13 13:00:00","2025-05-13 13:00:00","2025-05-13 13:00:00","2025-05-13 13:00:00","2025-05-13 13:00:00","","","","","","","","","2025-05-13 13:00:00","2025-05-13 13:00:00","2025-05-13 13:00:00","2025-05-13 13:00:00"
"10772434","","1","1","1","","","","","1","1","","","2025-05-13 13:00:00","2025-05-13 13:00:00","2025-05-13 13:00:00","2025-05-13 13:00:00","2025-05-13 13:00:00","2025-05-13 13:00:00","","","","","","","","","2025-05-13 13:00:00","2025-05-13 13:00:00","2025-05-13 13:00:00","2025-05-13 13:00:00"
"10688428","","1","1","1","","","","","1","1","","","2025-05-13 13:00:00","2025-05-13 13:00:00","2025-05-13 13:00:00","2025-05-13 13:00:00","2025-05-13 13:00:00","2025-05-13 13:00:00","","","","","","","","","2025-05-13 13:00:00","2025-05-13 13:00:00","2025-05-13 13:00:00","2025-05-13 13:00:00"
"9305070","","1","1","1","","","","","1","1","","","2025-05-13 13:00:00","2025-05-13 13:00:00","2025-05-13 13:00:00","2025-05-13 13:00:00","2025-05-13 13:00:00","2025-05-13 13:00:00","","","","","","","","","2025-05-13 13:00:00","2025-05-13 13:00:00","2025-05-13 13:00:00","2025-05-13 13:00:00"
"7690540","","1","1","1","","","","","1","1","","","2025-05-13 13:00:00","2025-05-13 13:00:00","2025-05-13 13:00:00","2025-05-13 13:00:00","2025-05-13 13:00:00","2025-05-13 13:00:00","","","","","","","","","2025-05-13 13:00:00","2025-05-13 13:00:00","2025-05-13 13:00:00","2025-05-13 13:00:00"
"20003731","","1","1","1","","","","","","","","","2025-05-13 13:00:00","2025-05-13 13:00:00","2025-05-13 13:00:00","2025-05-13 13:00:00","2025-05-13 13:00:00","2025-05-13 13:00:00","","","","","","","","","","","",""
"8763228","","1","1","1","","","","","1","1","","","2025-05-13 13:00:00","2025-05-13 13:00:00","2025-05-13 13:00:00","2025-05-13 13:00:00","2025-05-13 13:00:00","2025-05-13 13:00:00","","","","","","","","","2025-05-13 13:00:00","2025-05-13 13:00:00","2025-05-13 13:00:00","2025-05-13 13:00:00"
"10378175","","3","3","3","","","","","","","","","2025-05-13 13:00:00","2025-05-14 10:00:00","2025-05-13 13:00:00","2025-05-14 10:00:00","2025-05-13 13:00:00","2025-05-14 10:00:00","","","","","","","","","","","",""
"9361161","","2","2","2","","","","","2","2","","","2025-05-13 13:00:00","2025-05-19 20:00:00","2025-05-13 13:00:00","2025-05-19 20:00:00","2025-05-13 13:00:00","2025-05-19 20:00:00","","","","","","","","","2025-05-13 13:00:00","2025-05-19 20:00:00","2025-05-13 13:00:00","2025-05-19 20:00:00"
"MissingID-7a63394817b9aba9f644cb8e191926e1ae259c1417b0d085ed2fdc26cb50ea93","","4","4","4","","","","","","","","","2025-05-13 13:00:00","2025-05-14 23:00:00","2025-05-13 13:00:00","2025-05-14 23:00:00","2025-05-13 13:00:00","2025-05-14 23:00:00","","","","","","","","","","","",""
"20050927","","1","1","1","","","","","1","1","","","2025-05-13 13:00:00","2025-05-13 13:00:00","2025-05-13 13:00:00","2025-05-13 13:00:00","2025-05-13 13:00:00","2025-05-13 13:00:00","","","","","","","","","2025-05-13 13:00:00","2025-05-13 13:00:00","2025-05-13 13:00:00","2025-05-13 13:00:00"
"10765606","","1","1","1","","","","","","","","","2025-05-13 14:00:00","2025-05-13 14:00:00","2025-05-13 14:00:00","2025-05-13 14:00:00","2025-05-13 14:00:00","2025-05-13 14:00:00","","","","","","","","","","","",""
"9166155","","1","1","1","","","","","","","","","2025-05-13 14:00:00","2025-05-13 14:00:00","2025-05-13 14:00:00","2025-05-13 14:00:00","2025-05-13 14:00:00","2025-05-13 14:00:00","","","","","","","","","","","",""
"10894153","","1","1","1","","","","","1","1","","","2025-05-13 14:00:00","2025-05-13 14:00:00","2025-05-13 14:00:00","2025-05-13 14:00:00","2025-05-13 14:00:00","2025-05-13 14:00:00","","","","","","","","","2025-05-13 14:00:00","2025-05-13 14:00:00","2025-05-13 14:00:00","2025-05-13 14:00:00"
"9697029","","1","1","1","","","","1","","1","","","2025-05-13 14:00:00","2025-05-13 14:00:00","2025-05-13 14:00:00","2025-05-13 14:00:00","2025-05-13 14:00:00","2025-05-13 14:00:00","","","","","","","2025-05-13 14:00:00","2025-05-13 14:00:00","","","2025-05-13 14:00:00","2025-05-13 14:00:00"
"8772781","","1","1","1","","","","","","","","","2025-05-13 14:00:00","2025-05-13 14:00:00","2025-05-13 14:00:00","2025-05-13 14:00:00","2025-05-13 14:00:00","2025-05-13 14:00:00","","","","","","","","","","","",""
"7782120","","1","1","1","","","","","1","","","","2025-05-13 14:00:00","2025-05-13 14:00:00","2025-05-13 14:00:00","2025-05-13 14:00:00","2025-05-13 14:00:00","2025-05-13 14:00:00","","","","","","","","","2025-05-13 14:00:00","2025-05-13 14:00:00","",""
"9305282","","2","2","1","","","","","","","","","2025-05-13 14:00:00","2025-05-15 11:00:00","2025-05-13 14:00:00","2025-05-15 11:00:00","2025-05-13 14:00:00","2025-05-13 14:00:00","","","","","","","","","","","",""
"8882823","","1","1","1","","","","","1","1","","","2025-05-13 14:00:00","2025-05-13 14:00:00","2025-05-13 14:00:00","2025-05-13 14:00:00","2025-05-13 14:00:00","2025-05-13 14:00:00","","","","","","","","","2025-05-13 14:00:00","2025-05-13 14:00:00","2025-05-13 14:00:00","2025-05-13 14:00:00"
"8232255","","1","1","1","","","","","1","1","","","2025-05-13 14:00:00","2025-05-13 14:00:00","2025-05-13 14:00:00","2025-05-13 14:00:00","2025-05-13 14:00:00","2025-05-13 14:00:00","","","","","","","","","2025-05-13 14:00:00","2025-05-13 14:00:00","2025-05-13 14:00:00","2025-05-13 14:00:00"
"8951662","","1","1","1","1","","","","","1","","","2025-05-13 14:00:00","2025-05-13 14:00:00","2025-05-13 14:00:00","2025-05-13 14:00:00","2025-05-13 14:00:00","2025-05-13 14:00:00","2025-05-13 14:00:00","2025-05-13 14:00:00","","","","","","","","","2025-05-13 14:00:00","2025-05-13 14:00:00"
"MissingID-af615026ec221be5fd7e5754e8e6a1265ecc85a58ec0cbad4a9ee929eb4e4387","","4","4","4","","","","","","","","","2025-05-13 14:00:00","2025-05-13 14:00:00","2025-05-13 14:00:00","2025-05-13 14:00:00","2025-05-13 14:00:00","2025-05-13 14:00:00","","","","","","","","","","","",""
"9440791","","1","1","1","","","","","1","1","","","2025-05-13 14:00:00","2025-05-13 14:00:00","2025-05-13 14:00:00","2025-05-13 14:00:00","2025-05-13 14:00:00","2025-05-13 14:00:00","","","","","","","","","2025-05-13 14:00:00","2025-05-13 14:00:00","2025-05-13 14:00:00","2025-05-13 14:00:00"
"20041732","","1","1","1","","","","","","","","","2025-05-13 14:00:00","2025-05-13 14:00:00","2025-05-13 14:00:00","2025-05-13 14:00:00","2025-05-13 14:00:00","2025-05-13 14:00:00","","","","","","","","","","","",""
"1603045","","1","1","2","","","","","1","1","","","2025-05-13 14:00:00","2025-05-13 14:00:00","2025-05-13 14:00:00","2025-05-13 14:00:00","2025-05-13 14:00:00","2025-05-13 14:00:00","","","","","","","","","2025-05-13 14:00:00","2025-05-13 14:00:00","2025-05-13 14:00:00","2025-05-13 14:00:00"
"10967840","","1","1","1","","","","","","1","","","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","","","","","","","","","","","2025-05-13 15:00:00","2025-05-13 15:00:00"
"9421843","","1","1","1","","","","","1","1","","","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","","","","","","","","","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00"
"10547650","","1","1","1","","","","","","","","","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","","","","","","","","","","","",""
"10816482","","1","1","1","","","","","","","","","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","","","","","","","","","","","",""
"10985132","","2","2","2","","","","","","1","","","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","","","","","","","","","","","2025-05-13 15:00:00","2025-05-13 15:00:00"
"10994376","","1","1","1","","","","","1","1","","","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","","","","","","","","","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00"
"10947232","","1","1","1","","","","","","1","","","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","","","","","","","","","","","2025-05-13 15:00:00","2025-05-13 15:00:00"
"10896938","","1","1","1","","","","","1","1","","","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","","","","","","","","","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00"
"10994118","","1","1","","","","","","","","","","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","","","","","","","","","","","","","",""
"MissingID-1b54a0b0199daf87135068ecf4f853123f4a5acc1142ca57ff485b5c37a3beb3","","1","1","1","","","","","","","","","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","","","","","","","","","","","",""
"10965359","","1","1","1","","","","","1","1","","","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","","","","","","","","","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00"
"10780962","","1","1","1","","","","","","","","","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","","","","","","","","","","","",""
"7186746","","1","1","1","","","","","1","1","","","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","","","","","","","","","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00"
"10773994","","2","2","1","","","","","1","1","","","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","","","","","","","","","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00"
"9456847","","3","3","3","","","","","1","1","","","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","","","","","","","","","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00"
"10881360","","1","1","1","","","","","1","1","","","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","","","","","","","","","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00"
"7415544","","1","1","1","","","","","1","1","","","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","","","","","","","","","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00"
"8050838","","1","1","","","","","","","","","","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","2025-05-13 15:00:00","","","","","","","","","","","","","",""
