uniqueid,thumbnail_count,visit_count,play_count,impression_count,event_count_avon_on,event_count_cilt,event_count_finished,event_count_makyaj,event_count_parfum,event_count_replay,event_count_siparis,first_thumbnail_at,last_thumbnail_at,first_visited_at,last_visited_at,first_played_at,last_played_at,first_impression_at,last_impression_at,first_received_at_avon_on,last_received_at_avon_on,first_received_at_cilt,last_received_at_cilt,first_received_at_finished,last_received_at_finished,first_received_at_makyaj,last_received_at_makyaj,first_received_at_parfum,last_received_at_parfum,first_received_at_replay,last_received_at_replay,first_received_at_siparis,last_received_at_siparis
X001,,30,20,20,2,5,4,6,5,,,,,2025-03-06 17:00:00,2025-03-08 9:00:00,2025-03-06 17:00:00,2025-03-08 0:00:00,2025-03-06 17:00:00,2025-03-08 0:00:00,2025-03-06 18:00:00,2025-03-07 8:00:00,2025-03-07 8:00:00,2025-03-07 13:00:00,2025-03-06 18:00:00,2025-03-07 13:00:00,2025-03-06 18:00:00,2025-03-07 14:00:00,2025-03-07 8:00:00,2025-03-07 14:00:00,,,,
33560248,,1,1,1,,1,,1,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,2025-03-07 9:00:00,2025-03-07 9:00:00,2025-03-07 9:00:00,2025-03-07 9:00:00,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,
19829873,,1,1,1,,,1,,1,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,2025-03-07 9:00:00,2025-03-07 9:00:00,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,
15665173,,1,1,1,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,2025-03-07 9:00:00,2025-03-07 9:00:00,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,
2167983,,4,1,1,,,,,,,,,,2025-03-07 9:00:00,2025-03-08 13:00:00,2025-03-07 9:00:00,2025-03-07 9:00:00,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,
28849027,,1,1,1,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,2025-03-07 9:00:00,2025-03-07 9:00:00,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,
19832101,,1,1,1,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,2025-03-07 9:00:00,2025-03-07 9:00:00,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,
23010002,,1,,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,
70916397,,1,1,1,,,1,1,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,2025-03-07 9:00:00,2025-03-07 9:00:00,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,
5693967,,1,,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,
