uniqueid,thumbnail_count,visit_count,play_count,impression_count,event_count_finished,first_thumbnail_at,last_thumbnail_at,first_visited_at,last_visited_at,first_played_at,last_played_at,first_impression_at,last_impression_at,first_received_at_finished,last_received_at_finished
"70767812","","1","","","","","","2025-02-24 11:00:00","2025-02-24 11:00:00","","","","","",""
"X001","","3","3","2","1","","","2025-02-24 18:00:00","2025-02-26 01:00:00","2025-02-24 18:00:00","2025-02-26 01:00:00","2025-02-25 10:00:00","2025-02-26 01:00:00","2025-02-25 10:00:00","2025-02-25 10:00:00"
"20024959","","183","3","3","1","","","2025-02-24 18:00:00","2025-02-28 23:00:00","2025-02-24 18:00:00","2025-02-25 08:00:00","2025-02-24 18:00:00","2025-02-25 08:00:00","2025-02-25 08:00:00","2025-02-25 08:00:00"
"2033031","","2","","","","","","2025-02-25 08:00:00","2025-02-28 09:00:00","","","","","",""
"26009554","","3","1","1","","","","2025-02-25 08:00:00","2025-02-27 13:00:00","2025-02-25 08:00:00","2025-02-25 08:00:00","2025-02-25 08:00:00","2025-02-25 08:00:00","",""
"29369255","","1","","","","","","2025-02-25 09:00:00","2025-02-25 09:00:00","","","","","",""
"33546702","","1","","","","","","2025-02-25 09:00:00","2025-02-25 09:00:00","","","","","",""
"4570716","","1","1","1","1","","","2025-02-25 10:00:00","2025-02-25 10:00:00","2025-02-25 10:00:00","2025-02-25 10:00:00","2025-02-25 10:00:00","2025-02-25 10:00:00","2025-02-25 10:00:00","2025-02-25 10:00:00"
"70965482","","2","","","","","","2025-02-25 10:00:00","2025-02-27 18:00:00","","","","","",""
"32280485","","2","","","","","","2025-02-25 10:00:00","2025-02-27 22:00:00","","","","","",""
"70805836","","1","","","","","","2025-02-25 10:00:00","2025-02-25 10:00:00","","","","","",""
"1543366","","1","","","","","","2025-02-25 10:00:00","2025-02-25 10:00:00","","","","","",""
"33549005","","2","","","","","","2025-02-25 10:00:00","2025-02-26 14:00:00","","","","","",""
"20203394","","3","","","","","","2025-02-25 10:00:00","2025-02-28 18:00:00","","","","","",""
"70965307","","1","","","","","","2025-02-25 10:00:00","2025-02-25 10:00:00","","","","","",""
"29020813","","3","1","","","","","2025-02-25 10:00:00","2025-02-28 19:00:00","2025-02-27 09:00:00","2025-02-27 09:00:00","","","",""
"70965829","","1","","","","","","2025-02-25 11:00:00","2025-02-25 11:00:00","","","","","",""
"28956827","","1","1","","","","","2025-02-25 11:00:00","2025-02-25 11:00:00","2025-02-25 11:00:00","2025-02-25 11:00:00","","","",""
"32305289","","1","","","","","","2025-02-25 11:00:00","2025-02-25 11:00:00","","","","","",""
"70966365","","1","","","","","","2025-02-25 11:00:00","2025-02-25 11:00:00","","","","","",""
"33556477","","1","","","","","","2025-02-25 11:00:00","2025-02-25 11:00:00","","","","","",""
"7150004","","2","1","1","","","","2025-02-25 11:00:00","2025-02-26 16:00:00","2025-02-26 16:00:00","2025-02-26 16:00:00","2025-02-26 16:00:00","2025-02-26 16:00:00","",""
"29307631","","3","1","","","","","2025-02-25 11:00:00","2025-02-28 10:00:00","2025-02-28 10:00:00","2025-02-28 10:00:00","","","",""
"33435159","","1","","","","","","2025-02-25 11:00:00","2025-02-25 11:00:00","","","","","",""
"29287661","","2","","","","","","2025-02-25 11:00:00","2025-02-27 16:00:00","","","","","",""
"70970201","","1","","","","","","2025-02-25 11:00:00","2025-02-25 11:00:00","","","","","",""
"70312884","","3","","","","","","2025-02-25 11:00:00","2025-02-28 07:00:00","","","","","",""
"17799569","","1","","","","","","2025-02-25 11:00:00","2025-02-25 11:00:00","","","","","",""
"3081112","","2","","","","","","2025-02-25 11:00:00","2025-02-26 17:00:00","","","","","",""
"70942928","","1","","","","","","2025-02-25 11:00:00","2025-02-25 11:00:00","","","","","",""
"25426704","","3","1","","","","","2025-02-25 11:00:00","2025-02-27 14:00:00","2025-02-26 14:00:00","2025-02-26 14:00:00","","","",""
"8637724","","1","","","","","","2025-02-25 11:00:00","2025-02-25 11:00:00","","","","","",""
